Authors,Author(s) ID,Year,Source title,Link,EID
"Seyfang K.E., Lucas N., Popelka-Filcoff R.S., Kobus H.J., Redman K.E., Kirkbride K.P.","56957040600;57169935900;15521468200;7003432475;56956687500;56337473100;",2019,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063524025&doi=10.1016%2fj.forsciint.2019.03.019&partnerID=40&md5=94432258cc2924ad13f88e589091f232",2-s2.0-85063524025
"Seyfang K.E., Lucas N., Redman K.E., Popelka-Filcoff R.S., Kobus H.J., Kirkbride K.P.","56957040600;57169935900;56956687500;15521468200;7003432475;56337473100;",2019,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063334942&doi=10.1016%2fj.forsciint.2019.03.010&partnerID=40&md5=4824d9f8dcf99f7f0898bacfd5fb33ef",2-s2.0-85063334942
"Seyfang K.E., Kobus H.J., Popelka-Filcoff R.S., Plummer A., Magee C.W., Jr., Redman K.E., Kirkbride K.P.","56957040600;7003432475;15521468200;57204518307;57200849481;56956687500;56337473100;",2018,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055914896&doi=10.1016%2fj.forsciint.2018.10.017&partnerID=40&md5=349470a275d65843cf01265c37fd020e",2-s2.0-85055914896
"Maitre M., Kirkbride K.P., Horder M., Roux C., Beavis A.","57192155063;56337473100;57113201600;7202017940;7007045269;",2017,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84998656243&doi=10.1016%2fj.forsciint.2016.09.003&partnerID=40&md5=72e08daa40fe2a6dc2975729496feac9",2-s2.0-84998656243
"Wang Z., Liu J., Zhou Y., Neeway J.J., Schreiber D.K., Crum J.V., Ryan J.V., Wang X.-L., Wang F., Zhu Z.","56026696600;57188633966;44462389500;23095736500;22635599200;7006836894;55676644900;34881061700;10244176700;24074958100;",2016,"Surface and Interface Analysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971595564&doi=10.1002%2fsia.6049&partnerID=40&md5=e6408f4fcd331b22a7c17f32162c4132",2-s2.0-84971595564
"Ditrich H.","6701458279;",2012,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862646554&doi=10.1016%2fj.forsciint.2012.01.034&partnerID=40&md5=1bfcd549dd0998cf5c9f9b4dbfac4acd",2-s2.0-84862646554
"Mäkinen M., Nousiainen M., Sillanpää M.","7006475846;6602444635;7101751659;",2011,"Mass Spectrometry Reviews","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052148760&doi=10.1002%2fmas.20308&partnerID=40&md5=946b83ccfa65f89e14f59a93e4f3e9ad",2-s2.0-80052148760
"Schwoeble A.J., Strohmeier B.R., Piasecki J.D.","6507999564;6603730593;35086690100;",2010,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954507849&doi=10.1117%2f12.863906&partnerID=40&md5=4fef78dae5ca24a14946dbde22bb788c",2-s2.0-77954507849
"Dalby O., Butler D., Birkett J.W.","36160383000;57198299952;7004014784;",2010,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954320178&doi=10.1111%2fj.1556-4029.2010.01370.x&partnerID=40&md5=8ed7f76d57e3a1216c821751a8972c1b",2-s2.0-77954320178
"Coumbaros J., Kirkbride K.P., Klass G., Skinner W.","7801471626;56337473100;6602385262;57201542468;",2009,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450225248&doi=10.1016%2fj.forsciint.2009.08.020&partnerID=40&md5=1d2a22322e5383c9424212efb78d46a5",2-s2.0-70450225248
"Sharma S.P., Lahiri S.C.","55428765100;7203050822;",2009,"Science and Justice","https://www.scopus.com/inward/record.uri?eid=2-s2.0-69649088077&doi=10.1016%2fj.scijus.2008.07.002&partnerID=40&md5=faf4d95bff6b108af9e968be12987f27",2-s2.0-69649088077
"Coumbaros J., Denman J., Kirkbride K.P., Walker G.S., Skinner W.","7801471626;23485062200;56337473100;57198743329;57201542468;",2008,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-41149159800&doi=10.1111%2fj.1556-4029.2007.00644.x&partnerID=40&md5=3097647d0ccde21efb051ed339097927",2-s2.0-41149159800
"Mahoney C.M., Gillen G., Fahey A.J.","7102147153;7005794346;7004179421;",2006,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644615109&doi=10.1016%2fj.forsciint.2005.02.036&partnerID=40&md5=226aaa5a7a6ff53aa6e89c5c85228cfb",2-s2.0-33644615109
"Brettell T.A., Butler J.M., Saferstein R.","6604035747;7403925483;6603724137;",2005,"Analytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-20544474547&doi=10.1021%2fac050682e&partnerID=40&md5=0dfd57d04975ce76562318fadf4a6a9b",2-s2.0-20544474547
