Authors,Author(s) ID,Year,Source title,Link,EID
"Zack F., Büttner A.","8846798400;55353566400;",2015,"International Journal of Metalcasting","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948955181&doi=10.1007%2fs00194-015-0057-y&partnerID=40&md5=5bfe93340d96a575b9b74f838592358f",2-s2.0-84948955181
"Tokdemir M., Kafadar H., Turkoglu A., Bork T.","6508045590;16047655200;16048662000;16046956200;",2007,"Legal Medicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947308109&doi=10.1016%2fj.legalmed.2006.11.005&partnerID=40&md5=fe1f2f021108fb54a211511d6a02e9e5",2-s2.0-33947308109
"Ermenc B., Prijon T.","6603761047;16639560600;",2005,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-13444293131&doi=10.1016%2fj.forsciint.2004.09.090&partnerID=40&md5=4096ddee92f11390da67c6be05f5a5ad",2-s2.0-13444293131
"Padosch S.A., Schmidt P.H., Schyma C., Hirsch R.D., Kröner L.U., Dettmeyer R.B., Madea B.","6701892311;7403630171;7003395370;56212750000;6602604758;7006497222;7102211257;",2004,"Archiv fur Kriminologie","https://www.scopus.com/inward/record.uri?eid=2-s2.0-11244265981&partnerID=40&md5=5ad18d3b6186d3137f281597b6608dbf",2-s2.0-11244265981
"Golomb B.A., Tenkanen L., Alikoski T., Niskanen T., Manninen V., Huttunen M., Mednick S.A.","6603905872;7004166803;6507280779;7004689032;7005723706;35217924900;7005535243;",2002,"Journal of Clinical Epidemiology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036698051&doi=10.1016%2fS0895-4356%2802%2900407-9&partnerID=40&md5=25c1dcede664f1e955f31d97b9c1f2b9",2-s2.0-0036698051
"Brünig J., Milbradt H.","6507201052;7004150890;",2001,"Kriminalistik","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0345858003&partnerID=40&md5=f15708424e7fe63fab26f0bc338a0a4a",2-s2.0-0345858003
"Stein K.M., Bahner M.L., Merkel J., Ain S., Mattern R.","7202988774;7003266659;36523455100;14526763600;7005945561;",2000,"International Journal of Legal Medicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034484897&doi=10.1007%2fs004149900124&partnerID=40&md5=ac0bced49e040c0f744d58aef828b1bc",2-s2.0-0034484897
"Schyma C., Placidi P.","7003395370;6603716654;",2000,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033748282&partnerID=40&md5=7b6585757fbfde7239d1c6bed58a8d9f",2-s2.0-0033748282
"Neis P., Fink T., Dilger M., Rittner C.","6603510602;57206143793;23481044700;7006730571;",2000,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0343006759&doi=10.1016%2fS0379-0738%2800%2900235-8&partnerID=40&md5=5a815256772d361a69481faefcf2ac7c",2-s2.0-0343006759
"Brünig J., Milbradt H.","6507201052;7004150890;",2000,"Kriminalistik","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0345754849&partnerID=40&md5=22c168e07620e558e48e0a607a2886a9",2-s2.0-0345754849
"Schyma C., Huckenbeck W.","7003395370;7003618498;",1998,"Kriminalistik","https://www.scopus.com/inward/record.uri?eid=2-s2.0-11744263179&partnerID=40&md5=da1ec11e38ca3cafde71f8a8ddd05ae1",2-s2.0-11744263179
