Authors,Author(s) ID,Year,Source title,Link,EID
"He C.-H., Wang Q.-L., Liu S.-W., Wei L., Wang F., Han B.","57194543785;55608649800;27168150300;36550803200;55799946600;37005365900;",2017,"Huozhayao Xuebao/Chinese Journal of Explosives and Propellants","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020716533&doi=10.14077%2fj.issn.1007-7812.2017.02.002&partnerID=40&md5=f08e215983629f0869b4b57fe21f8068",2-s2.0-85020716533
"Radford G.E., Taylor M.C., Kieser J.A., Waddell J.N., Walsh K.A.J., Schofield J.C., Das R., Chakravorty E.","29567508700;24176029100;35563406800;14047616900;7403291333;56717289500;9638587900;56717641100;",2016,"International Journal of Legal Medicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936866417&doi=10.1007%2fs00414-015-1219-x&partnerID=40&md5=165ad03421fd5387666c6dbbecc853c8",2-s2.0-84936866417
"Chang K.H., Jayaprakash P.T., Yew C.H., Abdullah A.F.L.","55645695400;7004736167;55644072200;55621468900;",2013,"Australian Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875926381&doi=10.1080%2f00450618.2012.691546&partnerID=40&md5=29fd2f61a8e69b91779c69d0ebf86c3e",2-s2.0-84875926381
"Taborelli A., Gibelli D., Rizzi A., Andreola S., Brandone A., Cattaneo C.","54916867300;26532520200;56949049800;57198259689;6508288785;55157912300;",2012,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865862710&doi=10.1111%2fj.1556-4029.2012.02119.x&partnerID=40&md5=b8ff553fe1f6d796f654e0fe9744a96a",2-s2.0-84865862710
"Rowe W.F.","24455160900;",2012,"Encyclopedia of Forensic Sciences: Second Edition","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043234646&doi=10.1016%2fB978-0-12-382165-2.00270-1&partnerID=40&md5=5c1e67c212578b4e875eaedb87cf739e",2-s2.0-85043234646
"Erden S., Durmus Z., Kiliç E.","10141981800;56254335600;7006065730;",2011,"Electroanalysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79961062181&doi=10.1002%2felan.201000612&partnerID=40&md5=e2f7b17be59a339fb98582c13b7be398",2-s2.0-79961062181
"Zech W.-D., Kneubühl B., Thali M., Bolliger S.","36652262100;6504227095;7005096122;8307003000;",2011,"Journal of Forensic and Legal Medicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951510853&doi=10.1016%2fj.jflm.2010.11.005&partnerID=40&md5=4d64af6d8fcb1dccc6a69d02fea14726",2-s2.0-79951510853
"Gibelli D., Brandone A., Andreola S., Porta D., Giudici E., Grandi M.A., Cattaneo C.","26532520200;6508288785;57198259689;23051551700;57207635027;7005139787;55157912300;",2010,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954317785&doi=10.1111%2fj.1556-4029.2010.01378.x&partnerID=40&md5=00e896d5468cb6a6a01d8ac31307c71f",2-s2.0-77954317785
"Dalby O., Butler D., Birkett J.W.","36160383000;57198299952;7004014784;",2010,"Journal of Forensic Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954320178&doi=10.1111%2fj.1556-4029.2010.01370.x&partnerID=40&md5=8ed7f76d57e3a1216c821751a8972c1b",2-s2.0-77954320178
"Peschel O., Rothschild M.A., Mützel E.","6604029893;7201381947;23969250200;",2010,"Rechtsmedizin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956664982&doi=10.1007%2fS00194-010-0663-7&partnerID=40&md5=6db5100fc9524e04ab2383c2dbaa4818",2-s2.0-77956664982
"Saverio Romolo F., Margot P.","6508292376;7004580112;",2001,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035876938&doi=10.1016%2fS0379-0738%2800%2900428-X&partnerID=40&md5=e2f36a3e097a0be7c0c29e4addbcf379",2-s2.0-0035876938
"Betz P., Peschel O., Stiefel D., Eisenmenger W.","7006587183;6604029893;7003715203;7102763598;",1995,"Forensic Science International","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029609833&doi=10.1016%2f0379-0738%2895%2901793-3&partnerID=40&md5=b1c0666e4f5aa773598efefc09d59c0b",2-s2.0-0029609833
"Brettell T.A., Saferstein R.","6604035747;6603724137;",1991,"Analytical Chemistry","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026425172&doi=10.1021%2fac00012a010&partnerID=40&md5=bd06204589985ecf0917db41c2e04f60",2-s2.0-0026425172
